Transactions,Blocks,Output_Satoshis,anomaly
164,14303,449033.5845,0
141,15722,393176.491,0
153,16628,392406.172,0
155,15206,363660.1583,0
140,15820,410308.256,0
150,16119,345430.7786,0
139,14126,275751.5701,0
175,17118,436695.3789,0
157,15674,442201.4171,0
128,15501,377649.7613,0
150,16244,403258.4784,0
145,15611,364501.0972,0
164,14632,307330.2574,0
136,12817,276740.4402,0
170,15019,289067.1572,0
139,16559,384665.6377,0
148,18292,422796.0505,0
138,15313,421377.3322,0
141,14760,360852.3027,0
145,14708,254713.2648,0
167,15363,351192.8499,0
172,14990,333595.6782,0
150,16176,345237.7077,0
141,15972,435407.6148,0
159,17550,376869.1726,0
158,17461,385849.423,0
157,16531,366071.348,0
142,16050,346103.094,0
146,14087,324839.7678,0
137,15930,321202.6706,0
145,17238,309649.2248,0
145,17577,276583.0172,0
138,18681,323286.8601,0
150,17373,458101.2121,0
158,17621,326236.931,0
137,19323,428908.0905,0
138,21928,1352875.865,0
134,21520,1344784.086,0
138,21873,1606238.081,0
152,15005,980044.443,0
171,16460,705524.7506,0
158,15405,396081.7027,0
140,15254,436470.0407,0
129,15026,394178.9914,0
159,17360,787405.7135,0
166,19504,692032.4885,0
149,17535,582589.0271,0
165,16300,422153.7952,0
150,14540,347126.3854,0
154,16440,377087.2734,0
160,17231,378837.633,0
179,17312,338421.948,0
151,16032,665437.8012,0
134,18989,566902.2281,0
113,13287,386748.7411,0
137,17653,685564.112,0
145,18469,381113.997,0
137,16349,362054.0944,0
154,17234,381751.5994,0
156,17707,528367.6359,0
168,17520,598061.396,0
165,14063,392855.665,0
134,13866,431371.2054,0
166,16988,606233.9746,0
160,18245,534531.9264,0
137,17154,611616.6004,0
121,15556,492864.2161,0
153,17476,508432.0258,0
170,17327,468179.5611,0
160,15149,379449.6437,0
143,15715,458988.892,0
160,16057,502954.4242,0
158,17732,515344.0297,0
158,17088,761881.519,0
126,14964,899181.8359,0
184,16145,821417.768,0
157,15160,423949.8653,0
151,16254,535238.1318,0
156,17094,575018.415,0
150,18381,691100.7649,0
141,18051,1205888.066,0
154,17656,988434.3593,0
170,15545,883701.6333,0
142,14641,623404.5748,0
116,15111,703032.1475,0
133,17522,824059.658,0
137,17041,767659.1452,0
117,16255,943391.5058,0
136,15828,591961.5428,0
129,15082,347464.7823,0
150,15412,1263160.479,0
146,16039,1642155.445,0
147,20449,830066.565,0
141,18813,1518655.987,0
127,19398,1285753.94,0
123,17653,837527.9067,0
139,19534,997458.4373,0
107,17304,1278078.632,0
150,21042,1619772.032,0
135,18744,1139507.176,0
